Série,% Acertos,Disciplina,Conteúdo,Descritor
5º ANO A,45.5%,Ciências,Classificação dos alimentos (Q1),Diferenciar os alimentos que consome considerando seu impacto em nosso organismo.
5º ANO A,72.7%,Ciências,Classificação dos alimentos (Q2),Identificar a função dos órgãos do sistema digestório.
5º ANO A,68.2%,Ciências,Classificação dos alimentos (Q3),Identificar os órgãos que compõem diferentes partes do corpo humano.
5º ANO A,70.5%,Ciências,Órgãos do corpo humano e suas funções. (Q1),Compreender o funcionamento do Sistema Cardiovascular.
5º ANO A,72.7%,Ciências,Órgãos do corpo humano e suas funções. (Q2),Identificar a função dos órgãos do sistema digestório.
5º ANO A,79.5%,Ciências,Órgãos do corpo humano e suas funções. (Q3),Identificar as funções desempenhadas pelos órgãos que compõem o sistema respiratório.
5º ANO A,63.6%,Ciências,Órgãos do corpo humano e suas funções. (Q4),Identificar as funções desempenhadas pelos órgãos que compõem o sistema urinário.
5º ANO B,72.0%,Ciências,Órgãos do corpo humano e suas funções. (Q5),Diferenciar os alimentos que consome considerando seu impacto em nosso organismo.
5º ANO B,68.0%,Ciências,Órgãos do corpo humano e suas funções. (Q6),Identificar a função dos órgãos do sistema digestório.
5º ANO B,52.0%,Ciências,Sistema cardiovascular humano. (Q1),Identificar os órgãos que compõem diferentes partes do corpo humano.
5º ANO B,62.0%,Ciências,Sistema cardiovascular humano. (Q2),Compreender o funcionamento do Sistema Cardiovascular.
5º ANO B,68.0%,Ciências,Sistema cardiovascular humano. (Q3),Identificar a função dos órgãos do sistema digestório.
5º ANO B,56.0%,Ciências,Sistema Digestório. (Q1),Identificar as funções desempenhadas pelos órgãos que compõem o sistema respiratório.
5º ANO B,28.0%,Ciências,Sistema Digestório. (Q2),Identificar as funções desempenhadas pelos órgãos que compõem o sistema urinário.
5º ANO D,43.9%,Ciências,Sistema Digestório. (Q3),Diferenciar os alimentos que consome considerando seu impacto em nosso organismo.
5º ANO D,70.2%,Ciências,Sistema respiratório humano. (Q1),Identificar a função dos órgãos do sistema digestório.
5º ANO D,47.4%,Ciências,Sistema respiratório humano. (Q2),Identificar os órgãos que compõem diferentes partes do corpo humano.
5º ANO D,60.5%,Ciências,Sistema respiratório humano. (Q3),Compreender o funcionamento do Sistema Cardiovascular.
5º ANO D,75.4%,Ciências,Sistema Urinário. (Q1),Identificar a função dos órgãos do sistema digestório.
5º ANO D,62.3%,Ciências,Sistema Urinário. (Q2),Identificar as funções desempenhadas pelos órgãos que compõem o sistema respiratório.
5º ANO D,30.7%,Ciências,Sistema Urinário. (Q3),Identificar as funções desempenhadas pelos órgãos que compõem o sistema urinário.
