Série,% Acertos,Disciplina,Conteúdo,Descritor
5º ANO A,80.0%,Geografia,Crescimento das cidades (Q1),Identificar a mudança da paisagem decorrente do crescimento urbano.
5º ANO A,45.0%,Geografia,Crescimento das cidades (Q2),Compreender algumas características decorrentes da desigualdade social
5º ANO A,70.0%,Geografia,Crescimento das cidades (Q3),Compreender algumas características decorrentes da desigualdade social
5º ANO A,10.0%,Geografia,Desigualdade Social e suas consequências (Q1),Reconhecer a desigualdade racial no Brasil.
5º ANO B,68.0%,Geografia,Desigualdade Social e suas consequências (Q2),Identificar a mudança da paisagem decorrente do crescimento urbano.
5º ANO B,46.0%,Geografia,Desigualdade Social e suas consequências (Q3),Compreender algumas características decorrentes da desigualdade social
5º ANO B,64.0%,Geografia,Diferenças étnico-raciais e étnico-culturais. Desigualdades sociais. (Q1),Compreender algumas características decorrentes da desigualdade social
5º ANO B,16.0%,Geografia,Diferenças étnico-raciais e étnico-culturais. Desigualdades sociais. (Q2),Reconhecer a desigualdade racial no Brasil.
5º ANO D,75.4%,Geografia,Diferenças étnico-raciais e étnico-culturais. Desigualdades sociais. (Q3),Identificar a mudança da paisagem decorrente do crescimento urbano.
5º ANO D,69.3%,Geografia,Diferenças étnico-raciais e étnico-culturais. Desigualdades sociais. (Q4),Compreender algumas características decorrentes da desigualdade social
5º ANO D,49.1%,Geografia,Diferenças étnico-raciais e étnico-culturais. Desigualdades sociais. (Q5),Compreender algumas características decorrentes da desigualdade social
5º ANO D,31.6%,Geografia,Diferenças étnico-raciais e étnico-culturais. Desigualdades sociais. (Q6),Reconhecer a desigualdade racial no Brasil.
