Série,% Acertos,Disciplina,Conteúdo,Descritor
5º ANO A,52.5%,História,Marcação do tempo (Q1),Identificar diferentes formas de marcação do tempo.
5º ANO A,55.0%,História,Marcação do tempo (Q2),Identificar aspectos da cultura indígena no Brasil
5º ANO A,70.0%,História,Marcação do tempo (Q3),Identificar marcos da memória referentes a cultura negra no Brasil.
5º ANO A,45.0%,História,Marcos de memória. (Q1),Reconhecer as características do Patrimônio cultural.
5º ANO B,48.0%,História,Marcos de memória. (Q2),Identificar diferentes formas de marcação do tempo.
5º ANO B,56.0%,História,Marcos de memória. (Q3),Identificar aspectos da cultura indígena no Brasil
5º ANO B,24.0%,História,Marcos de memória. (Q4),Identificar marcos da memória referentes a cultura negra no Brasil.
5º ANO B,40.0%,História,Marcos de memória. (Q5),Reconhecer as características do Patrimônio cultural.
5º ANO D,53.5%,História,Marcos de memória. (Q6),Identificar diferentes formas de marcação do tempo.
5º ANO D,45.6%,História,Patrimônios Culturais e Naturais. (Q1),Identificar aspectos da cultura indígena no Brasil
5º ANO D,49.1%,História,Patrimônios Culturais e Naturais. (Q2),Identificar marcos da memória referentes a cultura negra no Brasil.
5º ANO D,33.3%,História,Patrimônios Culturais e Naturais. (Q3),Reconhecer as características do Patrimônio cultural.
