Série,% Acertos,Disciplina,Conteúdo,Descritor
5º ANO A,55.0%,Língua Portuguesa,Ampliação e redução na malha quadriculada,"Estabelecer relações entre partes de um texto, identificando repetições ou substituições que contribuem para a continuidade de um texto."
5º ANO A,70.0%,Língua Portuguesa,Cálculo de área e perímetro,Identificar o conflito gerador do enredo e os elementos que constroem a narrativa.
5º ANO A,50.0%,Língua Portuguesa,Coesão referencial  (Q1),"Estabelecer relações lógico-discursivas presentes no texto, marcadas por conjunções, advérbios etc."
5º ANO A,75.0%,Língua Portuguesa,Coesão referencial  (Q2),Identificar a finalidade de textos de diferentes gêneros.
5º ANO A,70.0%,Língua Portuguesa,Coesão referencial  (Q3),Reconhecer diferentes gêneros textuais.
5º ANO A,80.0%,Língua Portuguesa,Conflito gerador (Q1),Identificar a finalidade de textos de diferentes gêneros.
5º ANO A,45.0%,Língua Portuguesa,Conflito gerador (Q2),Reconhecer diferentes gêneros textuais.
5º ANO A,75.0%,Língua Portuguesa,Conflito gerador (Q3),Identificar efeitos de ironia ou humor em textos variados.
5º ANO A,80.0%,Língua Portuguesa,Conjunção (Q1),Localizar informações explícitas em um texto.
5º ANO A,60.0%,Língua Portuguesa,Conjunção (Q2),Inferir uma informação implícita.
5º ANO A,50.0%,Língua Portuguesa,Conjunção (Q3),Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.
5º ANO A,62.5%,Língua Portuguesa,Finalidade de um texto (Q1),Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
5º ANO A,85.0%,Língua Portuguesa,Finalidade de um texto (Q2),Inferir o sentido de uma palavra ou expressão.
5º ANO A,80.0%,Língua Portuguesa,Finalidade de um texto (Q3),Inferir o sentido de uma palavra ou expressão.
5º ANO A,72.5%,Língua Portuguesa,Gênero textual: fábula (Q1),Identificar o tema de um texto.
5º ANO B,52.0%,Língua Portuguesa,Gênero textual: fábula (Q2),"Estabelecer relações entre partes de um texto, identificando repetições ou substituições que contribuem para a continuidade de um texto."
5º ANO B,64.0%,Língua Portuguesa,Gênero textual: fábula (Q3),Identificar o conflito gerador do enredo e os elementos que constroem a narrativa.
5º ANO B,38.0%,Língua Portuguesa,Gênero textual: receita (Q1),"Estabelecer relações lógico-discursivas presentes no texto, marcadas por conjunções, advérbios etc."
5º ANO B,72.0%,Língua Portuguesa,Gênero textual: receita (Q2),Identificar a finalidade de textos de diferentes gêneros.
5º ANO B,80.0%,Língua Portuguesa,Gênero textual: receita (Q3),Reconhecer diferentes gêneros textuais.
5º ANO B,64.0%,Língua Portuguesa,Gênero textual: resenha (Q1),Identificar a finalidade de textos de diferentes gêneros.
5º ANO B,28.0%,Língua Portuguesa,Gênero textual: resenha (Q2),Reconhecer diferentes gêneros textuais.
5º ANO B,80.0%,Língua Portuguesa,Gênero textual: resenha (Q3),Identificar efeitos de ironia ou humor em textos variados.
5º ANO B,92.0%,Língua Portuguesa,Humor ou ironia (Q1),Localizar informações explícitas em um texto.
5º ANO B,70.0%,Língua Portuguesa,Humor ou ironia (Q2),Inferir uma informação implícita.
5º ANO B,52.0%,Língua Portuguesa,Humor ou ironia (Q3),Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.
5º ANO B,62.0%,Língua Portuguesa,Informação explícita (Q1),Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
5º ANO B,84.0%,Língua Portuguesa,Informação explícita (Q2),Inferir o sentido de uma palavra ou expressão.
5º ANO B,64.0%,Língua Portuguesa,Informação explícita (Q3),Inferir o sentido de uma palavra ou expressão.
5º ANO B,56.0%,Língua Portuguesa,Informação Implícita (Q1),Identificar o tema de um texto.
5º ANO B,40.0%,Língua Portuguesa,Informação Implícita (Q2),"Reconhecer a conservação ou modificação de medidas dos lados, do perímetro, da área em ampliação e/ou redução de figuras poligonais usando malhas quadriculadas."
5º ANO B,60.0%,Língua Portuguesa,Informação Implícita (Q3),"Resolver problema envolvendo o cálculo ou estimativa de áreas de figuras planas, desenhadas em malhas quadriculadas."
5º ANO D,70.2%,Língua Portuguesa,Pontuação. (Q1),"Estabelecer relações entre partes de um texto, identificando repetições ou substituições que contribuem para a continuidade de um texto."
5º ANO D,71.9%,Língua Portuguesa,Pontuação. (Q2),Identificar o conflito gerador do enredo e os elementos que constroem a narrativa.
5º ANO D,46.5%,Língua Portuguesa,Pontuação. (Q3),"Estabelecer relações lógico-discursivas presentes no texto, marcadas por conjunções, advérbios etc."
5º ANO D,57.9%,Língua Portuguesa,Pontuação. (Q4),Identificar a finalidade de textos de diferentes gêneros.
5º ANO D,80.7%,Língua Portuguesa,Pontuação. (Q5),Reconhecer diferentes gêneros textuais.
5º ANO D,80.7%,Língua Portuguesa,Pontuação. (Q6),Identificar a finalidade de textos de diferentes gêneros.
5º ANO D,47.4%,Língua Portuguesa,Sentido de palavra ou expressão. (Q1),Reconhecer diferentes gêneros textuais.
5º ANO D,78.9%,Língua Portuguesa,Sentido de palavra ou expressão. (Q2),Identificar efeitos de ironia ou humor em textos variados.
5º ANO D,78.9%,Língua Portuguesa,Sentido de palavra ou expressão. (Q3),Localizar informações explícitas em um texto.
5º ANO D,71.1%,Língua Portuguesa,Sentido de palavra ou expressão. (Q4),Inferir uma informação implícita.
5º ANO D,38.6%,Língua Portuguesa,Sentido de palavra ou expressão. (Q5),Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.
5º ANO D,71.1%,Língua Portuguesa,Sentido de palavra ou expressão. (Q6),Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
5º ANO D,87.7%,Língua Portuguesa,Tema de um texto (Q1),Inferir o sentido de uma palavra ou expressão.
5º ANO D,71.9%,Língua Portuguesa,Tema de um texto (Q2),Inferir o sentido de uma palavra ou expressão.
5º ANO D,65.8%,Língua Portuguesa,Tema de um texto (Q3),Identificar o tema de um texto.
