Série,% Acertos,Disciplina,Conteúdo,Descritor,turma A
5º ANO A,28.0,Língua Portuguesa - 1100,Gênero textual: lenda,Reconhecer diferentes gêneros textuais.,
5º ANO A,28.0,Língua Portuguesa - 1100,Verbos,"Identificar verbos, seus tempos e funções.",
5º ANO A,40.0,Língua Portuguesa - 1100,Concordância nominal,Reconhecer o funcionamento de estruturas linguísticas que exploram recursos morfossintáticos ou ortográficos.,
5º ANO A,44.0,Língua Portuguesa - 1100,Tema de um texto,Identificar o tema de um texto.,
5º ANO A,48.0,Língua Portuguesa - 1100,Características de gênero textual,Reconhecer os elementos constitutivos de um gênero textual.,
5º ANO A,48.0,Língua Portuguesa - 1100,Finalidade de um texto,Identificar a finalidade de textos de diferentes gêneros.,
5º ANO A,48.0,Língua Portuguesa - 1100,Ortografia,Identificar padrões ortográficos na escrita das palavras.,
Série,% Acertos,Disciplina,Conteúdo,Descritor,turma B
5º ANO B,40.0,Língua Portuguesa - 1100,Tema de um texto,Identificar o tema de um texto.,
5º ANO B,48.0,Língua Portuguesa - 1100,Gênero textual: lenda,Reconhecer diferentes gêneros textuais.,
5º ANO B,48.0,Língua Portuguesa - 1100,Verbos,"Identificar verbos, seus tempos e funções.",
Série,% Acertos,Disciplina,Conteúdo,Descritor,Turma C
5º ANO C,39.3,Língua Portuguesa - 1100,Concordância nominal,Reconhecer o funcionamento de estruturas linguísticas que exploram recursos morfossintáticos ou ortográficos.,
5º ANO C,46.4,Língua Portuguesa - 1100,Gênero textual: lenda,Reconhecer diferentes gêneros textuais.,
Série,% Acertos,Disciplina,Conteúdo,Descritor,Turma D
5º ANO D,35.7,Língua Portuguesa - 1100,Tema de um texto,Identificar o tema de um texto.,
5º ANO D,46.4,Língua Portuguesa - 1100,Gênero textual: lenda,Reconhecer diferentes gêneros textuais.,
5º ANO D,46.4,Língua Portuguesa - 1100,Ortografia,Identificar padrões ortográficos na escrita das palavras.,
